Type,Name,Path,Password,Resource,"Extra1 (sametext, from)","Extra2 (enc,to)",Extra3 (date)
Directory,documents,/,iluvalex,,,,03/06/1993
Directory,pictures,.,,,,,03/06/1993
Directory,sign_sheet,documents,,,,,05/01/1993
TextDocument,08/07/1994,documents/sign_sheet,,SignSheet/1994-07-08,,,08/07/1994
TextDocument,11/07/1994,documents/sign_sheet,,SignSheet/1994-07-11,,,11/07/1994
TextDocument,12/07/1994,documents/sign_sheet,,SignSheet/1994-07-12,,,12/07/1994
TextDocument,13/07/1994,documents/sign_sheet,,SignSheet/1994-07-13,,,13/07/1994
TextDocument,14/07/1994,documents/sign_sheet,,SignSheet/1994-07-14,,,14/07/1994
TextDocument,15/07/1994,documents/sign_sheet,,SignSheet/1994-07-15,,,15/07/1994
TextDocument,18/07/1994,documents/sign_sheet,,SignSheet/1994-07-18,,,18/07/1994
TextDocument,19/07/1994,documents/sign_sheet,,SignSheet/1994-07-19,,,19/07/1994
TextDocument,20/07/1994,documents/sign_sheet,,SignSheet/1994-07-20,,,20/07/1994
TextDocument,21/07/1994,documents/sign_sheet,,SignSheet/1994-07-21,,,21/07/1994
TextDocument,22/07/1994,documents/sign_sheet,,SignSheet/1994-07-22,,,22/07/1994
TextDocument,25/07/1994,documents/sign_sheet,,SignSheet/1994-07-25,,,25/07/1994
TextDocument,26/07/1994,documents/sign_sheet,,SignSheet/1994-07-26,,,26/07/1994
TextDocument,27/07/1994,documents/sign_sheet,,SignSheet/1994-07-27,,,27/07/1994
TextDocument,28/07/1994,documents/sign_sheet,,SignSheet/1994-07-28,,,28/07/1994
TextDocument,29/07/1994,documents/sign_sheet,,SignSheet/1994-07-29,,,29/07/1994
TextDocument,01/08/1994,documents/sign_sheet,,SignSheet/1994-08-01,,,01/08/1994
TextDocument,02/08/1994,documents/sign_sheet,,SignSheet/1994-08-02,,,02/08/1994
TextDocument,03/08/1994,documents/sign_sheet,,SignSheet/1994-08-03,,,03/08/1994
TextDocument,04/08/1994,documents/sign_sheet,,SignSheet/1994-08-04,,,04/08/1994
TextDocument,05/08/1994,documents/sign_sheet,,SignSheet/1994-08-05,,,05/08/1994
TextDocument,for_ceo,documents,,"okay this keeps happening. If the CEO forgets his password again it's ""freefall""",TRUE,,12/07/1994
